sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName		targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime		referenceDoi	referenceUrl	referenceCitation
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid3511	Quercus										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid35937	Robinia										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid64580	Tilia										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina		abdomen					http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid670782	Apicystis bombi										Galiza (NW- Iberian Peninsula), Spain					2016-08/2016-11		10.1038/s41598-021-90615-7	https://www.nature.com/articles/s41598-021-90615-7.pdf	Gabín-García LB, Bartolomé C, Guerra-Tort C, Rojas-Nossa SV, Llovo J, Maside X. 2021. Identification of pathogens in the invasive hornet Vespa velutina and in native Hymenoptera (Apidae, Vespidae) from SW-Europe. Scientific Reports 11 (art. 11233). doi:10.1038/s41598-021-90615-7
	NCBI:txid202808	Vespa velutina		abdomen					http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid59798	Crithidia acanthocephali										Galiza (NW- Iberian Peninsula), Spain					2016-08/2016-11		10.1038/s41598-021-90615-7	https://www.nature.com/articles/s41598-021-90615-7.pdf	Gabín-García LB, Bartolomé C, Guerra-Tort C, Rojas-Nossa SV, Llovo J, Maside X. 2021. Identification of pathogens in the invasive hornet Vespa velutina and in native Hymenoptera (Apidae, Vespidae) from SW-Europe. Scientific Reports 11 (art. 11233). doi:10.1038/s41598-021-90615-7
	NCBI:txid202808	Vespa velutina		abdomen					http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid288676	Crithidia bombi										Galiza (NW- Iberian Peninsula), Spain					2016-08/2016-11		10.1038/s41598-021-90615-7	https://www.nature.com/articles/s41598-021-90615-7.pdf	Gabín-García LB, Bartolomé C, Guerra-Tort C, Rojas-Nossa SV, Llovo J, Maside X. 2021. Identification of pathogens in the invasive hornet Vespa velutina and in native Hymenoptera (Apidae, Vespidae) from SW-Europe. Scientific Reports 11 (art. 11233). doi:10.1038/s41598-021-90615-7
	NCBI:txid202808	Vespa velutina		abdomen					http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid796356	Crithidia mellificae										Galiza (NW- Iberian Peninsula), Spain					2016-08/2016-11		10.1038/s41598-021-90615-7	https://www.nature.com/articles/s41598-021-90615-7.pdf	Gabín-García LB, Bartolomé C, Guerra-Tort C, Rojas-Nossa SV, Llovo J, Maside X. 2021. Identification of pathogens in the invasive hornet Vespa velutina and in native Hymenoptera (Apidae, Vespidae) from SW-Europe. Scientific Reports 11 (art. 11233). doi:10.1038/s41598-021-90615-7
	NCBI:txid202808	Vespa velutina		abdomen					http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid1620387	Lotmaria passim										Galiza (NW- Iberian Peninsula), Spain					2016-08/2016-11		10.1038/s41598-021-90615-7	https://www.nature.com/articles/s41598-021-90615-7.pdf	Gabín-García LB, Bartolomé C, Guerra-Tort C, Rojas-Nossa SV, Llovo J, Maside X. 2021. Identification of pathogens in the invasive hornet Vespa velutina and in native Hymenoptera (Apidae, Vespidae) from SW-Europe. Scientific Reports 11 (art. 11233). doi:10.1038/s41598-021-90615-7
	NCBI:txid202808	Vespa velutina		abdomen					http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid40302	Nosema ceranae										Galiza (NW- Iberian Peninsula), Spain					2016-08/2016-11		10.1038/s41598-021-90615-7	https://www.nature.com/articles/s41598-021-90615-7.pdf	Gabín-García LB, Bartolomé C, Guerra-Tort C, Rojas-Nossa SV, Llovo J, Maside X. 2021. Identification of pathogens in the invasive hornet Vespa velutina and in native Hymenoptera (Apidae, Vespidae) from SW-Europe. Scientific Reports 11 (art. 11233). doi:10.1038/s41598-021-90615-7
	NCBI:txid202808	Vespa velutina		abdomen					http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid481677	Nosema thomsoni										Galiza (NW- Iberian Peninsula), Spain					2016-08/2016-11		10.1038/s41598-021-90615-7	https://www.nature.com/articles/s41598-021-90615-7.pdf	Gabín-García LB, Bartolomé C, Guerra-Tort C, Rojas-Nossa SV, Llovo J, Maside X. 2021. Identification of pathogens in the invasive hornet Vespa velutina and in native Hymenoptera (Apidae, Vespidae) from SW-Europe. Scientific Reports 11 (art. 11233). doi:10.1038/s41598-021-90615-7
